,CSTRATM
174,40100000.0
175,40100000.0
176,40100000.0
177,40100000.0
178,40100000.0
179,40100000.0
180,40100000.0
181,40100000.0
182,40100000.0
183,40100000.0
184,40100000.0
185,40100000.0
186,40100000.0
187,40100000.0
188,40100000.0
189,40100000.0
190,40100000.0
191,40100000.0
192,40100000.0
193,40100000.0
194,40100000.0
195,40100000.0
196,40100000.0
197,40100000.0
198,40100000.0
199,40100000.0
200,40100000.0
201,40100000.0
202,40100000.0
203,40100000.0
204,40100000.0
205,40100000.0
206,40100000.0
207,40100000.0
208,40100000.0
209,40100000.0
210,40100000.0
211,40100000.0
212,40100000.0
213,40100000.0
214,40100000.0
215,40100000.0
216,40100000.0
217,40100000.0
218,40100000.0
219,40100000.0
220,40100000.0
221,40100000.0
222,40100000.0
223,40100000.0
224,40100000.0
225,40100000.0
226,40100000.0
227,40100000.0
228,40100000.0
229,40100000.0
230,40100000.0
231,40100000.0
232,40100000.0
233,40100000.0
234,40100000.0
235,40100000.0
236,40100000.0
237,40100000.0
238,40100000.0
239,40100000.0
240,40100000.0
241,40100000.0
242,40100000.0
243,40100000.0
244,40100000.0
245,40100000.0
246,40100000.0
247,40100000.0
248,40100000.0
249,40100000.0
250,40100000.0
251,40100000.0
252,40100000.0
253,40100000.0
254,40100000.0
255,40100000.0
256,40100000.0
257,40100000.0
258,40100000.0
259,40100000.0
260,40100000.0
261,40100000.0
262,40100000.0
263,40100000.0
264,40100000.0
265,40100000.0
266,40100000.0
267,40100000.0
268,40100000.0
269,40100000.0
270,40100000.0
271,40100000.0
272,40100000.0
273,40100000.0
274,40100000.0
275,40100000.0
276,40100000.0
277,40100000.0
278,40100000.0
279,40100000.0
280,40100000.0
281,40100000.0
282,40100000.0
283,40100000.0
284,40100000.0
285,40100000.0
286,40100000.0
287,40100000.0
288,40100000.0
289,40100000.0
290,40100000.0
291,40100000.0
292,40100000.0
293,40100000.0
294,40100000.0
295,40100000.0
296,40100000.0
297,40100000.0
298,40100000.0
299,40100000.0
300,40100000.0
301,40100000.0
302,40100000.0
303,40100000.0
304,40100000.0
305,40100000.0
306,40100000.0
307,40100000.0
308,40100000.0
309,40100000.0
310,20115201.0
311,20115201.0
312,20115201.0
313,20115201.0
314,20115201.0
315,20115201.0
316,20115201.0
317,20115201.0
318,20115201.0
319,20115201.0
320,20115201.0
321,20115201.0
322,20115201.0
323,20115201.0
324,20115201.0
325,20115201.0
326,20115201.0
327,20115201.0
328,20115201.0
329,20115201.0
330,20115201.0
331,20115201.0
332,20115201.0
333,20115201.0
334,20115201.0
335,20115201.0
336,20115201.0
337,20115201.0
338,20115201.0
339,20115201.0
340,20115201.0
341,20115201.0
342,20115201.0
343,20115201.0
344,20115201.0
345,20115201.0
346,20115201.0
347,20115201.0
348,20115201.0
349,20115201.0
350,20115201.0
351,20115201.0
352,20115201.0
353,20115201.0
354,20115201.0
355,20115201.0
356,20115201.0
357,20115201.0
358,20115201.0
359,20115201.0
360,20115201.0
361,20115201.0
362,20115201.0
363,20115201.0
364,20115201.0
365,20115201.0
366,20115201.0
367,20115201.0
368,20115201.0
369,20115201.0
370,20115201.0
371,20115201.0
372,20115201.0
373,20115201.0
374,20115201.0
375,20115201.0
376,20115201.0
377,20115201.0
378,20115201.0
379,20115201.0
380,20115201.0
381,20115201.0
382,40100000.0
383,40100000.0
384,40100000.0
385,40100000.0
386,40100000.0
387,40100000.0
388,40100000.0
389,40100000.0
390,40100000.0
391,40100000.0
392,40100000.0
393,40100000.0
394,40100000.0
395,40100000.0
396,40100000.0
397,40100000.0
398,40100000.0
399,40100000.0
400,40100000.0
401,40100000.0
402,40100000.0
403,40100000.0
404,40100000.0
405,40100000.0
406,40100000.0
407,40100000.0
408,40100000.0
409,40100000.0
410,40100000.0
411,40100000.0
412,40100000.0
413,40100000.0
414,40100000.0
415,40100000.0
416,40100000.0
417,40100000.0
418,40100000.0
419,40100000.0
420,40100000.0
421,40100000.0
422,40100000.0
423,40100000.0
424,40100000.0
425,40100000.0
426,40100000.0
427,40100000.0
428,40100000.0
429,40100000.0
430,40100000.0
431,40100000.0
432,40100000.0
433,40100000.0
434,40100000.0
435,40100000.0
436,40100000.0
437,40100000.0
438,40100000.0
439,40100000.0
440,40100000.0
441,40100000.0
442,40100000.0
443,40100000.0
444,40100000.0
445,40100000.0
446,40100000.0
447,40100000.0
448,40100000.0
449,40100000.0
450,40100000.0
451,40100000.0
452,40100000.0
453,40100000.0
454,40100000.0
455,40100000.0
456,40100000.0
457,40100000.0
458,40100000.0
459,40100000.0
460,40100000.0
461,40100000.0
462,40100000.0
463,40100000.0
464,40100000.0
465,40100000.0
466,40100000.0
467,40100000.0
468,40100000.0
469,40100000.0
470,40100000.0
471,40100000.0
472,40100000.0
473,40100000.0
474,40100000.0
475,40100000.0
476,40100000.0
477,40100000.0
478,40100000.0
479,40100000.0
480,40100000.0
481,40100000.0
482,40100000.0
483,40100000.0
484,40100000.0
485,40100000.0
486,40100000.0
487,40100000.0
488,40100000.0
489,40100000.0
490,40100000.0
491,40100000.0
492,40100000.0
493,40100000.0
494,40100000.0
495,40100000.0
496,40100000.0
497,40100000.0
498,40100000.0
499,40100000.0
500,40100000.0
501,40100000.0
502,40100000.0
503,40100000.0
504,40100000.0
505,40100000.0
506,40100000.0
507,40100000.0
508,40100000.0
509,40100000.0
510,40100000.0
511,40100000.0
512,40100000.0
513,40100000.0
514,40100000.0
515,40100000.0
516,40100000.0
517,40100000.0
